"customer_id","age","TechSupport"
"K409198",68,"No"
"S120509",27,"No"
"K191035",50,"No"
"D90850",48,"No"
"K662701",83,"Yes"
"W303516",83,"No"
"U335188",79,"Yes"
"V538685",30,"No"
"M716771",49,"No"
"I676080",86,"No"
"J980369",23,"No"
"E243720",56,"No"
"F139569",83,"No"
"X44200",29,"Yes"
"H68068",30,"Yes"
"A403906",39,"No"
"V847470",63,"No"
"F721878",60,"Yes"
"F487435",61,"Yes"
"B561228",23,"No"
"X325271",38,"No"
"I282896",30,"No"
"I367206",52,"Yes"
"N37182",68,"Yes"
"U644626",75,"No"
"A766555",77,"No"
"V54032",47,"No"
"Z301326",70,"No"
"J887250",20,"No"
"Z686376",69,"No"
"L357432",45,"No"
"V899967",40,"Yes"
"G571225",82,"No"
"S381541",74,"No"
"R195593",69,"Yes"
"I327596",52,"Yes"
"U790894",26,"Yes"
"O739489",25,"No"
"I958127",66,"Yes"
"Z666770",72,"No"
"X711438",21,"No"
"U369541",55,"Yes"
"S896111",41,"Yes"
"K227200",32,"Yes"
"E818912",22,"No"
"Y490834",44,"No"
"B609739",23,"Yes"
"E687638",43,"Yes"
"E492264",86,"No"
"W255321",84,"Yes"
"S72442",62,"Yes"
"O845020",68,"No"
"D805597",59,"No"
"R189303",31,"No"
"N142854",51,"No"
"F522569",58,"No"
"L384793",73,"No"
"C101444",33,"Yes"
"E987442",58,"Yes"
"L54611",49,"No"
"L85018",26,"Yes"
"O942919",25,"Yes"
"I167253",42,"No"
"R110564",81,"No"
"M278354",43,"No"
"W604879",63,"No"
"X345797",70,"Yes"
"N189653",78,"No"
"M562102",48,"No"
"X67911",63,"No"
"O834546",60,"Yes"
"I493092",87,"Yes"
"H787644",54,"No"
"N582710",35,"Yes"
"T689606",70,"No"
"E330599",67,"Yes"
"C641592",46,"Yes"
"E24772",50,"No"
"A889769",24,"No"
"G391761",20,"No"
"A606860",29,"No"
"E186097",31,"Yes"
"I627613",72,"Yes"
"Z188641",71,"Yes"
"A740543",32,"Yes"
"W681476",33,"No"
"G842176",67,"Yes"
