,Age,Income,Gender,Outage_sec_perweek,Contacts,Yearly_equip_failure,TechSupport,Bandwidth_GB_Year
0,68,28561.99,2,7.978322947,0,1,1,904.5361102
1,27,21704.77,1,11.69907956,0,1,1,800.9827661
2,50,9609.57,1,10.75280028,0,1,1,2054.706961
3,48,18925.23,2,14.91353964,2,0,1,2164.579412
4,83,40074.19,2,8.147416533,2,1,0,271.4934362
5,83,22660.2,1,8.420992898,3,1,1,1039.357983
6,79,11467.5,2,11.18272453,0,1,0,1907.242972
7,30,26759.64,1,7.791632265,0,0,1,979.6127078
8,49,58634.51,3,5.739005915,2,3,1,1312.874964
9,86,50231.4,1,8.707823904,1,0,1,508.7637913
10,23,22580.7,1,9.341631685,0,2,1,2728.767869
11,56,18342.12,1,6.68082638,1,1,1,1180.588788
12,83,83671.08,2,8.273875452,0,0,1,1196.388018
13,29,115114.57,1,5.880565591,1,0,0,1948.694497
14,30,64256.81,2,11.79073041,3,0,0,1582.295235
15,39,89061.45,2,10.79846973,1,0,1,1840.014467
16,63,31659.3,1,13.52284721,1,0,1,2070.376729
17,60,44142.81,2,9.831166695,3,0,0,882.0985933
18,61,39262.14,1,9.57470568,1,0,0,1833.0967
19,23,19494.75,2,10.92246098,1,0,1,1954.080809
20,38,39624.21,2,12.06889188,0,3,1,2330.319383
21,30,45714.47,2,6.984819996,1,0,1,594.1054279
22,52,27442.03,2,9.372975594,1,1,0,713.0633088
23,68,79699.62,2,7.109002592,0,0,0,945.3802928
24,75,28520.32,1,13.74777955,1,0,1,870.76398
25,77,12558.83,2,9.767668044,1,0,1,774.2937069
26,47,8762.23,1,15.8626095,0,1,1,1506.446527
27,70,43882.72,1,14.73616645,0,0,1,419.0508708
28,20,10482.52,1,13.43558029,2,0,1,1259.415493
29,69,33442.79,2,10.61771118,1,0,1,1745.125956
30,45,43383.54,2,6.613070806,0,0,1,1795.465729
31,40,21793.88,1,4.450171647,2,0,0,492.4771472
32,82,51960.51,1,8.774646693,0,0,1,1013.993166
33,74,25942.1,2,11.13156721,1,1,1,2680.762173
34,69,11211.59,2,5.540788887,1,0,0,1081.814362
35,52,8283.29,2,13.80362698,0,1,0,1209.961168
36,26,10114.81,1,16.31017089,1,1,0,897.5919144
37,25,36229.21,1,9.447065309,2,0,1,1340.930156
38,66,25397.44,1,16.84100845,1,0,0,1113.993679
39,72,50336.5,2,7.972937227,1,1,1,1530.10769
40,21,38211.37,1,11.42906608,1,0,1,1310.137419
41,55,52887.26,2,8.06137096,2,0,0,892.8964931
42,41,12003.33,2,12.54780492,1,2,0,1125.581944
43,32,24090.62,2,8.255565152,0,0,0,2016.710031
44,22,15137.93,1,13.156514,0,0,1,1412.736809
45,44,54458.38,1,10.58349704,1,0,1,1710.689671
46,23,132116.33,2,12.50184778,1,0,0,2384.885909
47,43,37358.13,1,9.750038902,1,0,0,1213.940165
48,86,26534.16,1,7.868660851,2,2,1,740.010722
49,84,76430.83,1,12.43563329,0,1,0,897.9716153
50,62,4662.37,1,8.957166926,3,0,0,1026.387172
51,68,43820.85,1,8.015021713,1,0,1,1234.244324
52,59,38391.55,1,4.210347704,0,0,1,727.3731845
53,31,44137.6,1,11.13960534,0,0,1,452.8721504
54,51,14364.65,2,9.03738856,2,0,1,1296.674543
55,58,62359.91,1,10.91594785,1,1,1,1840.628269
56,73,82634.86,2,8.387624096,0,1,1,1324.330108
57,33,15690.25,1,11.4487514,0,1,0,958.1397059
58,58,14568.7,2,10.22013704,2,0,0,1868.864027
59,49,29207.46,1,8.425458142,1,0,1,676.712908
60,26,55319.23,1,8.386280619,1,0,0,1086.990308
61,25,81831.49,2,9.565924291,3,0,0,704.7540406
62,42,100076.65,1,10.79349982,3,0,1,1416.444695
63,81,69965.65,2,6.081975067,0,0,1,1095.950634
64,43,34883.69,1,13.55065547,0,0,1,1083.610268
65,63,45634.2,2,9.470419821,1,0,1,1570.641337
66,70,10964.73,1,6.194985909,0,1,0,1007.425553
67,78,22365.28,2,10.80393657,1,0,1,1323.028419
68,48,52636.6,2,7.903964267,0,1,1,1808.730555
69,63,19048.13,1,11.27443693,2,1,1,1120.241472
70,60,42784.82,1,6.129509309,0,0,0,2676.789803
71,87,77996.88,2,7.969277912,0,0,0,1268.086909
72,54,47507.3,1,4.368120492,0,0,1,822.6771666
73,35,7724.73,2,6.258356398,0,1,0,1577.915603
74,70,1509.52,2,12.92303286,0,0,1,648.7471776
75,67,81124.71,1,12.43301273,0,0,0,1648.102673
76,46,11795.57,1,7.607663559,0,0,0,768.0874545
77,50,74794.84,2,7.442789019,2,1,1,2426.030626
78,24,19038.78,1,13.04429298,1,0,1,2660.503932
79,20,79167.77,2,14.89762162,0,0,1,1129.549713
80,29,37428.26,1,13.79387475,2,1,1,1771.286466
81,31,45148.38,2,15.66367593,1,0,0,943.3391244
82,72,74855.47,1,8.513410306,3,0,0,1907.226083
83,71,45323.86,2,8.265002035,1,0,0,1885.939118
84,32,71596.14,1,8.6026551,0,0,0,631.7435653
85,33,10389.95,2,6.03993035,1,0,1,562.6095219
86,67,19657.14,2,14.6040829,3,0,0,593.8572264
87,66,27827.03,1,7.274007029,1,1,1,777.3060718
88,21,15609.05,1,8.913898759,4,0,1,1393.202392
89,61,19815.63,1,11.59313893,0,2,1,393.6524652
90,75,58482.9,1,8.294186076,0,0,1,409.7486664
91,63,41656.53,1,15.19664016,1,0,1,2138.107161
92,68,115510.46,1,5.083995994,1,0,0,443.984031
93,32,15841.19,2,6.942719201,1,1,1,2481.385603
94,76,81127.41,2,9.834012571,1,0,0,2233.567181
95,29,24270.88,1,11.0596826,0,0,1,1158.91369
96,83,54466.33,1,8.834079073,0,1,1,529.40733
97,23,64816.84,2,5.271228601,1,1,0,1956.7337
98,80,103311.26,2,9.394961367,1,0,0,2056.386979
99,20,40211.04,2,14.4754365,1,1,1,1067.373076
100,69,58077.38,2,10.68311773,1,1,0,1806.135733
101,32,43466.35,2,13.79409442,1,0,1,1397.701335
102,53,23289.77,1,12.40165307,1,0,1,808.4305471
103,25,49158.49,2,10.24782033,1,0,1,1886.531937
104,69,3805.84,2,14.86100819,0,2,1,2294.781131
105,71,52616.27,2,6.716953195,2,1,1,826.3438621
106,53,30550.42,1,8.124258176,1,0,1,2072.564168
107,56,12154.01,3,14.60903837,0,2,0,1436.793746
108,42,30649.31,2,12.65015936,2,2,0,1963.332683
109,33,31417.33,2,12.0281501,0,0,0,1324.164906
110,47,55861.19,2,15.68043093,1,0,1,704.9375603
111,48,9044.26,1,11.30421466,3,1,1,888.6517305
112,63,25381.66,1,10.26646787,1,0,0,377.0810282
113,40,65064.31,2,7.56618217,0,0,1,1606.489936
114,67,12527.51,2,10.40677369,2,0,0,1431.409396
115,56,35499.06,1,7.146124361,3,0,1,2253.85247
116,24,26282.4,1,9.807530479,1,0,1,1353.29384
117,79,51237.28,1,10.61217014,3,0,1,1701.457566
118,61,64222.21,2,5.785085772,1,1,1,1290.737183
119,38,11014.98,2,9.062879297,2,0,0,1403.270091
120,28,21172.49,1,16.54443477,1,0,1,2603.903672
121,44,26130.78,2,4.539566699,2,0,1,1256.287854
122,65,36478.21,2,7.251198724,2,0,0,980.9935923
123,35,54533.63,1,8.943293567,2,1,1,1347.869205
124,31,37103.18,1,12.57884215,3,1,1,1127.267848
125,34,74679.84,2,11.64836306,0,1,1,1269.836202
126,68,95028.57,2,6.076260652,0,0,1,1038.745378
127,62,34281.1,2,11.75681641,0,0,0,1531.155367
128,52,36240.81,2,9.173739977,0,1,0,991.2441024
129,32,9515.64,2,8.353693631,4,0,1,1244.296865
130,47,125814.88,1,10.74539526,0,1,1,1162.332926
131,66,12995.68,1,11.36323648,1,1,0,577.1157824
132,70,77531.43,1,2.310584634,1,0,0,1442.974877
133,41,87354.99,2,5.290318715,0,0,1,1577.208717
134,59,76567.85,2,5.258274954,1,0,1,886.9398744
135,46,30663.52,2,7.157580014,0,0,1,1065.06443
136,70,122957.19,2,2.120350511,0,0,1,951.886985
137,89,31600.92,2,4.978546291,2,0,0,1404.435534
138,75,74638.78,1,6.547676875,3,1,1,1925.911722
139,26,32652.3,1,7.410590719,0,1,0,1805.011298
140,25,63650.54,1,11.39765385,1,1,0,700.7343179
141,84,28622.6,1,11.29945603,1,0,1,513.237305
142,69,50252.79,2,11.30748265,0,2,1,717.3876564
143,31,19800.81,2,10.31551212,2,1,1,1313.492851
144,76,35954.77,2,13.71555406,1,0,1,819.4195269
145,75,36342.31,2,15.40917963,2,0,0,882.1160656
146,74,48715.53,3,11.9664542,1,0,0,724.7803356
147,49,23204.98,2,10.18046877,2,0,0,1829.270014
148,47,35302.52,2,14.01485542,1,1,1,1668.199119
149,20,54895.16,1,14.62784306,2,0,0,1124.353152
150,26,60398.06,1,10.90517581,2,0,0,1316.239744
151,72,8115.88,1,8.894475174,0,1,0,1637.201426
152,41,33858.66,2,10.50187888,0,0,1,951.8524406
153,26,29950.47,1,12.34250072,2,1,1,1248.097652
