,Age,Income,Outage_sec_perweek,Contacts,Bandwidth_GB_Year
0,68,28561.99,7.978322947,0,904.5361102
1,27,21704.77,11.69907956,0,800.9827661
2,50,9609.57,10.75280028,0,2054.706961
3,48,18925.23,14.91353964,2,2164.579412
4,83,40074.19,8.147416533,2,271.4934362
5,83,22660.2,8.420992898,3,1039.357983
6,79,11467.5,11.18272453,0,1907.242972
7,30,26759.64,7.791632265,0,979.6127078
8,49,58634.51,5.739005915,2,1312.874964
9,86,50231.4,8.707823904,1,508.7637913
10,23,22580.7,9.341631685,0,2728.767869
11,56,18342.12,6.68082638,1,1180.588788
12,83,83671.08,8.273875452,0,1196.388018
13,29,115114.57,5.880565591,1,1948.694497
14,30,64256.81,11.79073041,3,1582.295235
15,39,89061.45,10.79846973,1,1840.014467
16,63,31659.3,13.52284721,1,2070.376729
17,60,44142.81,9.831166695,3,882.0985933
18,61,39262.14,9.57470568,1,1833.0967
19,23,19494.75,10.92246098,1,1954.080809
20,38,39624.21,12.06889188,0,2330.319383
21,30,45714.47,6.984819996,1,594.1054279
22,52,27442.03,9.372975594,1,713.0633088
23,68,79699.62,7.109002592,0,945.3802928
24,75,28520.32,13.74777955,1,870.76398
25,77,12558.83,9.767668044,1,774.2937069
26,47,8762.23,15.8626095,0,1506.446527
27,70,43882.72,14.73616645,0,419.0508708
28,20,10482.52,13.43558029,2,1259.415493
29,69,33442.79,10.61771118,1,1745.125956
30,45,43383.54,6.613070806,0,1795.465729
31,40,21793.88,4.450171647,2,492.4771472
32,82,51960.51,8.774646693,0,1013.993166
33,74,25942.1,11.13156721,1,2680.762173
34,69,11211.59,5.540788887,1,1081.814362
35,52,8283.29,13.80362698,0,1209.961168
36,26,10114.81,16.31017089,1,897.5919144
37,25,36229.21,9.447065309,2,1340.930156
38,66,25397.44,16.84100845,1,1113.993679
39,72,50336.5,7.972937227,1,1530.10769
40,21,38211.37,11.42906608,1,1310.137419
41,55,52887.26,8.06137096,2,892.8964931
42,41,12003.33,12.54780492,1,1125.581944
43,32,24090.62,8.255565152,0,2016.710031
44,22,15137.93,13.156514,0,1412.736809
45,44,54458.38,10.58349704,1,1710.689671
46,23,132116.33,12.50184778,1,2384.885909
47,43,37358.13,9.750038902,1,1213.940165
48,86,26534.16,7.868660851,2,740.010722
49,84,76430.83,12.43563329,0,897.9716153
50,62,4662.37,8.957166926,3,1026.387172
51,68,43820.85,8.015021713,1,1234.244324
52,59,38391.55,4.210347704,0,727.3731845
53,31,44137.6,11.13960534,0,452.8721504
54,51,14364.65,9.03738856,2,1296.674543
55,58,62359.91,10.91594785,1,1840.628269
56,73,82634.86,8.387624096,0,1324.330108
57,33,15690.25,11.4487514,0,958.1397059
58,58,14568.7,10.22013704,2,1868.864027
59,49,29207.46,8.425458142,1,676.712908
60,26,55319.23,8.386280619,1,1086.990308
61,25,81831.49,9.565924291,3,704.7540406
62,42,100076.65,10.79349982,3,1416.444695
63,81,69965.65,6.081975067,0,1095.950634
64,43,34883.69,13.55065547,0,1083.610268
65,63,45634.2,9.470419821,1,1570.641337
66,70,10964.73,6.194985909,0,1007.425553
67,78,22365.28,10.80393657,1,1323.028419
68,48,52636.6,7.903964267,0,1808.730555
