,Age,Children,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Phone,Multiple,StreamingTV,StreamingMovies,Tenure,MonthlyCharge,Gender_Female,Gender_Male,Gender_Nonbinary,Bandwidth_GB_Year
9069,-0.970071930586431,-0.9723379092716081,0.11045702757896148,0.1551753882869564,0.3252089645289763,-1.0058516991026796,-0.6258635316811727,0,1,1,1,1,1.1906395488131079,1.863326022595687,0,1,0,1.2488740563038512
2603,-0.003787833659951896,-0.04084592357288879,-0.3848688477647332,-0.6920631252149856,1.316699710044148,0.005867974104602262,0.9466579047036832,0,1,0,1,0,-1.2487851229025315,-0.29552017652756857,1,0,0,-1.3416768280987996
7738,0.14115478087901998,-0.5065919164222484,-0.7287803219886845,-0.08405176487567508,-1.9882694416730908,2.0293073205191656,-0.6258635316811727,0,1,1,0,0,0.627313544155695,-0.3529269217907562,1,0,0,0.4021413816351502
1579,-0.4869298821231915,-0.9723379092716081,-1.0893784954586843,-1.2319643436841619,0.6557058797007002,0.005867974104602262,-0.6258635316811727,0,1,1,1,1,-1.2391687486495897,1.630901967685156,1,0,0,-1.153769575082729
5058,-1.211642954818051,-0.5065919164222484,-0.5437070462665649,-0.7867564295916175,0.3252089645289763,1.0175876473118841,-0.6258635316811727,0,1,0,1,1,1.4044620848964056,0.8147138411795543,1,0,0,1.3890409735250804
5753,1.7355235408077105,-0.5065919164222484,-0.46647813391885806,-0.68882676114021,0.3252089645289763,0.005867974104602262,-0.6258635316811727,1,1,0,0,0,0.9526771494188624,-0.5857117279449975,1,0,0,0.7222940926064064
3548,-0.9217577257401072,0.8906460621258305,-0.7707860925011694,0.4360747193414967,-0.0052879506427475865,0.005867974104602262,-0.6258635316811727,0,1,0,1,0,-1.0357635174556103,-0.9935206204951417,0,1,0,-0.8670738649278887
409,0.8658678535738794,0.4249000692764709,0.5685912171269882,-1.1953779508064328,0.986202794872424,-1.0058516991026796,-0.6258635316811727,0,1,1,1,1,-0.9770664239968856,1.921957542899898,1,0,0,-0.9022436869004397
4097,0.8175536487275554,0.8906460621258305,0.02965168470682726,1.5035506476372986,-1.657772526501367,0.005867974104602262,2.519179341088539,0,1,0,1,0,-0.608301413577748,-0.8193954430145611,1,0,0,-0.7469900391850521
6461,1.349009902037119,0.4249000692764709,-0.5332096818685905,-0.6937832942211921,-0.6662817809861953,0.005867974104602262,0.9466579047036832,0,1,0,1,1,1.0436057327764445,0.6402672921178489,1,0,0,1.1711167609191795
5601,0.3344116002643158,2.7536300335232693,0.23914433866211882,1.1559884669146085,0.3252089645289763,0.005867974104602262,0.9466579047036832,0,1,0,1,1,1.0011387853976836,1.456285627304756,0,1,0,1.1366460585136415
5231,0.28609739541799184,3.6851220192219887,-0.9633427432283921,0.27972046325674343,0.3252089645289763,1.0175876473118841,2.519179341088539,1,1,0,1,0,0.9698087751140311,-0.7601885511411577,0,1,0,1.0222253046330654
3777,-0.9217577257401072,-0.5065919164222484,0.3801220168930278,-1.5157932223590063,-0.3357848658144715,-1.0058516991026796,-0.6258635316811727,0,1,0,1,0,-0.7693135076629141,-0.7026444078831412,0,1,0,-0.606693899987464
2726,0.5276684196496116,-0.04084592357288879,-0.03390948258961994,0.6467492176324018,-0.0052879506427475865,-1.0058516991026796,0.9466579047036832,0,1,1,1,1,-0.9190759640534623,1.9214477031878996,0,1,0,-0.6289753452501138
477,-0.3419872675842196,1.82213804782455,-0.24543770533124892,-0.32186305529659737,-0.0052879506427475865,-1.0058516991026796,-0.6258635316811727,0,1,0,0,0,-1.2074734060603431,-1.109587460187905,0,1,0,-1.2898630190203757
